,cond_color,probvar,cost,choseH,subject,mn_ss
246,diff,low,high,1,154,2.16666666667
247,diff,low,high,1,155,3.16666666667
248,diff,low,high,1,158,1.33333333333
249,diff,low,high,1,161,1.33333333333
250,diff,low,high,1,162,1.4
251,diff,low,high,1,169,5.2
252,diff,low,high,1,173,2.66666666667
253,diff,low,high,1,174,1.6
254,diff,low,high,1,177,4.4
255,diff,low,high,1,178,4.0
256,diff,low,high,1,183,1.25
257,diff,low,high,1,184,1.33333333333
258,diff,low,high,1,186,2.25
259,diff,low,high,1,188,3.16666666667
260,diff,low,high,1,190,1.0
261,diff,low,high,1,195,6.2
262,diff,low,high,1,199,1.0
263,diff,low,high,1,200,3.2
264,diff,low,high,1,201,3.5
265,diff,low,high,1,204,3.0
266,diff,low,high,1,206,3.16666666667
267,diff,low,high,1,207,2.0
268,diff,low,high,1,210,2.5
269,diff,low,high,1,213,2.4
270,diff,low,high,1,215,2.0
271,diff,low,high,1,216,6.0
272,diff,low,low,0,91,1.0
273,diff,low,low,0,103,5.0
274,diff,low,low,0,105,1.0
275,diff,low,low,0,109,7.0
276,diff,low,low,0,111,1.33333333333
277,diff,low,low,0,114,5.0
278,diff,low,low,0,115,1.0
279,diff,low,low,0,134,1.0
280,diff,low,low,0,138,1.66666666667
281,diff,low,low,0,142,1.0
282,diff,low,low,0,161,1.75
283,diff,low,low,0,162,1.0
284,diff,low,low,0,174,4.0
285,diff,low,low,0,184,1.0
286,diff,low,low,0,195,14.0
287,diff,low,low,0,210,2.0
288,diff,low,low,0,216,14.0
289,diff,low,low,1,91,1.33333333333
290,diff,low,low,1,94,5.5
291,diff,low,low,1,98,4.83333333333
292,diff,low,low,1,99,8.66666666667
293,diff,low,low,1,101,4.66666666667
294,diff,low,low,1,103,3.2
295,diff,low,low,1,105,7.25
296,diff,low,low,1,109,6.0
297,diff,low,low,1,111,2.0
298,diff,low,low,1,114,7.6
299,diff,low,low,1,115,2.5
300,diff,low,low,1,117,3.33333333333
301,diff,low,low,1,120,9.0
302,diff,low,low,1,128,13.8333333333
303,diff,low,low,1,129,9.83333333333
304,diff,low,low,1,134,11.4
305,diff,low,low,1,135,7.33333333333
306,diff,low,low,1,138,1.0
307,diff,low,low,1,139,14.5
308,diff,low,low,1,142,1.0
309,diff,low,low,1,143,10.8333333333
310,diff,low,low,1,146,5.83333333333
311,diff,low,low,1,150,7.16666666667
312,diff,low,low,1,152,8.33333333333
313,diff,low,low,1,154,4.66666666667
314,diff,low,low,1,155,5.33333333333
315,diff,low,low,1,158,8.16666666667
316,diff,low,low,1,161,1.0
317,diff,low,low,1,162,2.0
318,diff,low,low,1,169,8.0
319,diff,low,low,1,173,6.0
320,diff,low,low,1,174,7.0
321,diff,low,low,1,177,14.6666666667
322,diff,low,low,1,178,14.1666666667
323,diff,low,low,1,183,1.5
324,diff,low,low,1,184,4.75
325,diff,low,low,1,186,4.5
326,diff,low,low,1,188,5.33333333333
327,diff,low,low,1,190,3.33333333333
328,diff,low,low,1,195,16.6
329,diff,low,low,1,199,9.66666666667
330,diff,low,low,1,200,17.6666666667
331,diff,low,low,1,201,9.33333333333
332,diff,low,low,1,204,6.0
333,diff,low,low,1,206,16.0
334,diff,low,low,1,207,3.33333333333
335,diff,low,low,1,210,16.4
336,diff,low,low,1,213,12.6666666667
337,diff,low,low,1,215,6.0
338,diff,low,low,1,216,6.0
339,same,high,high,0,92,5.0
340,same,high,high,0,93,2.0
341,same,high,high,0,96,1.4
342,same,high,high,0,97,1.0
343,same,high,high,0,100,4.0
344,same,high,high,0,102,1.66666666667
345,same,high,high,0,104,3.0
346,same,high,high,0,106,1.0
347,same,high,high,0,107,5.5
348,same,high,high,0,110,8.0
349,same,high,high,0,112,2.66666666667
350,same,high,high,0,113,1.0
351,same,high,high,0,116,2.66666666667
352,same,high,high,0,119,2.0
353,same,high,high,0,121,2.0
354,same,high,high,0,123,2.0
355,same,high,high,0,127,5.0
356,same,high,high,0,130,5.0
357,same,high,high,0,136,18.0
358,same,high,high,0,137,2.0
359,same,high,high,0,140,3.0
360,same,high,high,0,141,8.0
361,same,high,high,0,144,2.0
362,same,high,high,0,145,4.0
363,same,high,high,0,148,3.66666666667
364,same,high,high,0,149,3.0
365,same,high,high,0,151,1.0
366,same,high,high,0,159,2.5
367,same,high,high,0,166,1.0
368,same,high,high,0,170,2.0
369,same,high,high,0,175,6.0
370,same,high,high,0,176,2.5
371,same,high,high,0,179,4.0
372,same,high,high,0,180,1.0
373,same,high,high,0,181,3.0
374,same,high,high,0,191,1.0
375,same,high,high,0,192,3.0
376,same,high,high,0,194,18.0
377,same,high,high,0,198,1.33333333333
378,same,high,high,0,202,8.0
379,same,high,high,0,203,1.75
380,same,high,high,0,205,4.0
381,same,high,high,0,208,5.0
382,same,high,high,0,209,2.33333333333
383,same,high,high,0,211,2.0
384,same,high,high,0,214,1.66666666667
