"subject" "problem" "trial" "option" "outcome"
"650" 33 5 3 0 0
"651" 33 5 4 1 3
"652" 33 5 5 0 32
"653" 33 5 6 1 3
"654" 33 5 7 0 32
"655" 33 5 8 1 3
"656" 33 5 9 0 0
"657" 33 5 10 1 3
"658" 33 5 11 0 0
"659" 33 5 12 1 3
"660" 33 5 13 0 0
"661" 33 5 14 1 3
"662" 33 5 15 0 0
"663" 33 5 16 1 3
"664" 33 5 17 0 0
"665" 33 5 18 1 3
"666" 33 5 19 0 0
"689" 33 6 1 0 0
"690" 33 6 2 1 0
"691" 33 6 3 0 0
"692" 33 6 4 1 0
"693" 33 6 5 0 0
"694" 33 6 6 1 0
"695" 33 6 7 0 0
"696" 33 6 8 1 0
"697" 33 6 9 0 0
"698" 33 6 10 1 0
"699" 33 6 11 0 0
"700" 33 6 12 1 3
"701" 33 6 13 0 0
"702" 33 6 14 1 0
"703" 33 6 15 0 0
"704" 33 6 16 1 3
"967" 34 1 1 0 4
"968" 34 1 2 1 3
"969" 34 1 3 0 4
"970" 34 1 4 1 3
"971" 34 1 5 0 4
"972" 34 1 6 1 3
"973" 34 1 7 0 4
"974" 34 1 8 1 3
"975" 34 1 9 0 4
"976" 34 1 10 1 3
"977" 34 1 11 0 4
"978" 34 1 12 1 3
"979" 34 1 13 0 4
"980" 34 1 14 0 4
"981" 34 1 15 0 4
"982" 34 1 16 1 3
"983" 34 1 17 0 0
"984" 34 1 18 1 3
"985" 34 1 19 0 4
"986" 34 1 20 1 3
"987" 34 1 21 0 0
"988" 34 1 22 1 3
"989" 34 1 23 0 4
"990" 34 1 24 1 3
"991" 34 1 25 0 4
"836" 34 2 1 1 3
"837" 34 2 2 0 4
"838" 34 2 3 1 3
"839" 34 2 4 0 0
"840" 34 2 5 1 0
"841" 34 2 6 0 0
"842" 34 2 7 1 0
"843" 34 2 8 1 3
"844" 34 2 9 1 0
"845" 34 2 10 1 0
"846" 34 2 11 1 0
"847" 34 2 12 0 0
"848" 34 2 13 0 0
"849" 34 2 14 0 4
"850" 34 2 15 0 0
"851" 34 2 16 0 0
"852" 34 2 17 1 0
"853" 34 2 18 0 0
"854" 34 2 19 1 0
"855" 34 2 20 0 0
"856" 34 2 21 1 0
"857" 34 2 22 0 0
"858" 34 2 23 1 0
"859" 34 2 24 0 0
"860" 34 2 25 1 3
"861" 34 2 26 0 0
"862" 34 2 27 1 0
"863" 34 2 28 0 4
"864" 34 2 29 1 0
"865" 34 2 30 0 4
"866" 34 2 31 1 0
"867" 34 2 32 0 0
"868" 34 3 1 1 0
"869" 34 3 2 0 -3
"870" 34 3 3 1 0
"871" 34 3 4 0 -3
"872" 34 3 5 1 0
"873" 34 3 6 0 -3
"874" 34 3 7 1 0
"875" 34 3 8 0 -3
"876" 34 3 9 1 0
"877" 34 3 10 0 -3
"878" 34 3 11 1 -32
"879" 34 3 12 0 -3
"880" 34 3 13 1 0
"881" 34 3 14 0 -3
"882" 34 3 15 1 0
"883" 34 3 16 0 -3
"884" 34 3 17 0 -3
"885" 34 3 18 0 -3
"886" 34 3 19 0 -3
"887" 34 3 20 0 -3
"888" 34 3 21 0 -3
"889" 34 3 22 0 -3
"890" 34 3 23 0 -3
"891" 34 3 24 0 -3
"892" 34 3 25 0 -3
"893" 34 3 26 1 0
"894" 34 3 27 1 0
"895" 34 3 28 1 0
"896" 34 3 29 1 0
"897" 34 3 30 1 0
"898" 34 3 31 1 0
"899" 34 3 32 1 0
"900" 34 3 33 0 -3
"901" 34 3 34 1 0
"902" 34 3 35 0 -3
"903" 34 3 36 1 0
"904" 34 3 37 0 -3
"905" 34 3 38 1 0
"992" 34 4 1 0 -3
"993" 34 4 2 1 -4
"994" 34 4 3 0 -3
"995" 34 4 4 1 -4
"996" 34 4 5 0 -3
"997" 34 4 6 1 0
"998" 34 4 7 0 -3
"999" 34 4 8 0 -3
"1000" 34 4 9 0 -3
"1001" 34 4 10 0 -3
"1002" 34 4 11 0 -3
"1003" 34 4 12 0 -3
"1004" 34 4 13 1 -4
"1005" 34 4 14 0 -3
"1006" 34 4 15 0 -3
"1007" 34 4 16 0 -3
"1008" 34 4 17 1 -4
"1009" 34 4 18 0 -3
"1010" 34 4 19 1 -4
"1011" 34 4 20 1 -4
"1012" 34 4 21 1 0
"1013" 34 4 22 1 -4
"1014" 34 4 23 1 -4
"1015" 34 4 24 1 -4
"1016" 34 4 25 1 -4
"1017" 34 4 26 1 -4
"1018" 34 4 27 1 -4
"1019" 34 4 28 0 -3
"1020" 34 4 29 1 0
"1021" 34 4 30 1 -4
"1022" 34 4 31 1 -4
"1023" 34 4 32 1 -4
"1024" 34 4 33 1 -4
"1025" 34 4 34 1 -4
"1026" 34 4 35 0 -3
"1027" 34 4 36 1 0
"1028" 34 4 37 1 -4
"1029" 34 4 38 0 -3
"1030" 34 4 39 1 -4
"1031" 34 4 40 1 -4
"1032" 34 4 41 1 -4
"1033" 34 4 42 1 -4
"770" 34 5 1 0 0
"771" 34 5 2 1 3
"772" 34 5 3 1 3
"773" 34 5 4 1 3
"774" 34 5 5 0 0
"775" 34 5 6 0 0
"776" 34 5 7 1 3
"777" 34 5 8 0 0
"778" 34 5 9 1 3
"779" 34 5 10 0 32
"780" 34 5 11 1 3
